invoice_and_item_number,date,store_number,store_name,address,city,zip_code,store_location,county_number,county,category,category_name,vendor_number,vendor_name,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons
INV-31794300020,2020-11-10,4255,FAREWAY STORES #058 / ORANGE CITY,512  8TH SE,ORANGE CITY,51041.0,,84,SIOUX,1082000.0,IMPORTED CORDIALS & LIQUEURS,192,"MAST-JAGERMEISTER US, INC",65259,JAGERMEISTER LIQUEUR MINI MEISTERS,12,20,4.93,7.4,1,7.4,0.02,0.0
INV-36549000103,2021-05-12,5941,PRIME MART - CEDAR FALLS,2728 CENTER ST,CEDAR FALLS,50613.0,POINT(-92.455972 42.561054),7,BLACK HAWK,1082100.0,IMPORTED CORDIALS & LIQUEURS,192,"MAST-JAGERMEISTER US, INC",65259,JAGERMEISTER LIQUEUR MINI MEISTERS,12,20,4.93,7.4,1,7.4,0.02,0.0
INV-31870600059,2020-11-12,2587,HY-VEE FOOD STORE / JOHNSTON,5750 MERLE HAY ROAD,JOHNSTON,50131.0,POINT(-93.697731 41.665172),77,POLK,1081600.0,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,60.0,90.0,1,90.0,0.05,0.01
INV-46615400004,2022-04-19,2672,HY-VEE / WINTERSET,923 N  1ST ST,WINTERSET,50273,POINT(-94.013482 41.342665),61,MADISON,1081600.0,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-31829900016,2020-11-10,3820,"CHARLIE'S WINE AND SPIRITS,",507 W 19TH ST,SIOUX CITY,51103.0,POINT(-96.420193 42.510535),97,WOODBURY,1081600.0,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,60.0,90.0,1,90.0,0.05,0.01
INV-45260900007,2022-07-26,5519,CASEY'S GENERAL STORE #3648 / AKRON,80 SOUTH ST,AKRON,51001.0,POINT(-96.563106 42.823106),,PLYMOUTH,1081600.0,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-59108200001,2023-06-06,4000,FOODLAND SUPER MARKETS / WOODBINE,62 5TH ST,WOODBINE,51579.0,POINT(-95.702833978 41.73676502),,HARRISON,1081600.0,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-60440400001,2023-07-18,5538,CASEY'S GENERAL STORE #2490 / STORY CITY,1625 E BROAD ST,STORY CITY,50248.0,POINT(-93.574332983 42.18836499),,STORY,1081600.0,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-55984900018,2023-02-17,4785,CASEY'S GENERAL STORE #2835 / AVOCA,1019 N CHESTNUT ST,AVOCA,51521.0,POINT(-95.33604 41.48552),,POTTAWATTAMIE,1081600,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-48866100049,2022-07-01,4291,FAREWAY STORES #597 / CRESTON,105 E ADAMS ST,CRESTON,50801.0,,88,UNION,1081600.0,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-56047900003,2023-02-21,4513,CASEY'S GENERAL STORE #1144 / POLK CITY,1100 S 3RD ST,POLK CITY,50226.0,POINT(-93.71774 41.76389),,POLK,1081600,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-52631600091,2022-11-01,2549,HY-VEE FOOD STORE / INDIANOLA,910 N JEFFERSON,INDIANOLA,50125.0,POINT(-93.55836 41.36854),,WARREN,1081600,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-44939400014,2022-02-21,4658,CASEY'S GENERAL STORE #3027 / IOWA FALLS,904 WASHINGTON AVE,IOWA FALLS,50126.0,POINT(-93.268365 42.519634),42,HARDIN,1081600.0,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-45039600066,2022-02-24,2517,HY-VEE FOOD STORE #1 / NEWTON,1501 FIRST AVENUE EAST,NEWTON,50208.0,POINT(-93.03411 41.699159),50,JASPER,1081600.0,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-55763000019,2023-02-10,5558,CASEY'S GENERAL STORE #1280 / FORT DODGE,1133 S 22ND ST,FORT DODGE,50501.0,POINT(-94.16786 42.49188),,WEBSTER,1081600,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-29602100003,2020-08-19,2619,HY-VEE WINE AND SPIRITS / WDM,1725  74TH ST,WEST DES MOINES,50266.0,POINT(-93.808855 41.598515),77,POLK,1081600.0,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,60.0,90.0,1,90.0,0.05,0.01
INV-47134600008,2022-05-05,6271,KIMMES KINGSLEY COUNTRY STORE #16 / KINGSLEY,109 MAIN ST.,KINGSLEY,51028.0,POINT(-95.967323 42.587239),75,PLYMOUTH,1081600.0,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-54282800002,2022-12-22,4503,CASEY'S GENERAL STORE #38 / TREYNOR,102 W MAIN ST,TREYNOR,51575.0,POINT(-95.6174 41.23249),,POTTAWATTAMIE,1081600,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-33571600025,2021-01-19,5114,CASEY'S GENERAL STORE #2612 / MISSOU,"106, E  ERIE ST",MISSOURI VALLEY,51555.0,POINT(-95.894321 41.556431),43,HARRISON,1081600.0,WHISKEY LIQUEUR,421.0,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-59578400001,2023-06-20,5368,CASEY'S GENERAL STORE # 2169/ INDEPENDENCE,816 1ST ST. WEST,INDEPENDENCE,50644.0,POINT(-91.903614994 42.46911998),,BUCHANAN,1081600.0,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-47684200069,2022-05-23,5441,LIQUOR ON THE CORNER,300 EAST MAIN,CHEROKEE,51012.0,POINT(-95.547298 42.749597),18,CHEROKEE,1081600.0,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-51626400014,2022-09-28,2647,HY-VEE #7 / CEDAR RAPIDS,5050 EDGEWOOD RD,CEDAR RAPIDS,52411,POINT(-91.701581 42.030129),,LINN,1081600.0,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-46208000002,2022-04-05,5538,CASEY'S GENERAL STORE #2490 / STORY CITY,1625 E BROAD ST,STORY CITY,50248,POINT(-93.574222 42.187737),85,STORY,1081600.0,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-63176800001,2023-10-11,2584,HY-VEE FOOD STORE / FORT MADISON,2606 AVENUE L,FORT MADISON,52627.0,POINT(-91.343303961 40.625694008),,LEE,1081600.0,WHISKEY LIQUEUR,421.0,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-59834000001,2023-06-28,6258,FORT MADISON TOBACCO AND LIQUOR OUTLET PLUS / FORT MADISON,1735 AVENUE H,FORT MADISON,52627.0,POINT(-91.329825023 40.6305009870001),,LEE,1081600.0,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-60752900001,2023-07-28,6209,HY-VEE / GRIMES,351 NORTHEAST GATEWAY DRIVE,GRIMES,50111.0,POINT(-93.777219967 41.690352998),,POLK,1081600.0,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-63148600001,2023-10-11,6344,HELLO MART LLC / SIOUX CITY,4218 MORNINGSIDE AVENUE,SIOUX CITY,51106.0,POINT(-96.35281897 42.470301996),,WOODBURY,1081600.0,WHISKEY LIQUEUR,421.0,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-60874600001,2023-08-01,6038,CASEY'S GENERAL STORE #2880 / WATERLOO,1604 LA PORTE RD,WATERLOO,50702,POINT(-92.323227987 42.470829008),,BLACK HAWK,1081600.0,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-38532900007,2021-07-21,5630,CASEY'S GENERAL STORE #3009 / SIOUX CITY,4301 STONE AVE,SIOUX CITY,51106.0,POINT(-96.351303 42.479182),97,WOODBURY,1081600.0,WHISKEY LIQUEUR,421.0,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-53372700004,2022-11-25,5664,CASEY'S GENERAL STORE #45 / DES MOINES,2890 E BROADWAY AVE,DES MOINES,50317.0,POINT(-93.56141 41.644),,POLK,1081600,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-43664200005,2022-01-10,6072,PEARL CITY TOBACCO & LIQUOR OUTLET / MUSCATINE,200 GREEN ST,MUSCATINE,52761.0,POINT(-91.057868 41.413913),70,MUSCATINE,1081600.0,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-50805900045,2022-08-30,2661,HY-VEE FOOD STORE / SHELDON,1989 PARK ST,SHELDON,51201,POINT(-95.831721 43.186038),,O'BRIEN,1081600.0,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-53884800013,2022-12-12,4371,KUM & GO #50 / WEST DES MOINES,745 S 51ST ST,WEST DES MOINES,50265.0,POINT(-93.77348 41.55849),,POLK,1081600,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-59553500001,2023-06-19,5399,CASEY'S GENERAL STORE # 1876/MANLY,505 HWY 65 S,MANLY,50456.0,POINT(-93.210049017 43.283548985),,WORTH,1081600.0,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-28040500081,2020-06-16,5514,JOHNCY'S LIQUOR STORE,585 HWY 965 STE D & E,NORTH LIBERTY,52317.0,POINT(-91.60761 41.738129),52,JOHNSON,1081600.0,WHISKEY LIQUEUR,421.0,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,60.0,90.0,1,90.0,0.05,0.01
INV-53790000019,2022-12-08,2575,HY-VEE FOOD STORE #1 / WATERLOO,2834 ANSBOROUGH AVE,WATERLOO,50702.0,POINT(-92.37665 42.47177),,BLACK HAWK,1081600,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-39986600044,2021-09-11,2607,HY-VEE WINE AND SPIRITS / SHENANDOAH,520 SO FREMONT,SHENANDOAH,51601.0,POINT(-95.385111 40.761736),73,PAGE,1081600.0,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-51623200005,2022-09-28,2675,HY-VEE #2 / CORALVILLE,3285 CROSSPARK RD,CORALVILLE,52241,POINT(-91.605881 41.722419),,JOHNSON,1081600.0,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-51350200002,2022-09-19,5141,CASEY'S GENERAL STORE #3418 / GOWRIE,"1131, MARKET ST",GOWRIE,50543.0,POINT(-94.290485 42.28056),,WEBSTER,1081600.0,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-63844600001,2023-11-01,2620,HY-VEE / WINDSOR HEIGHTS,7101 UNIVERSITY AVE,WINDSOR HEIGHTS,50311.0,POINT(-93.71565296 41.600927017),,POLK,1081600.0,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-51677700023,2022-09-29,2651,HY-VEE / WAVERLY,1311 4 STREET SW,WAVERLY,50677,POINT(-92.475403 42.712263),,BREMER,1081600.0,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-32192000024,2020-11-24,3877,TARGET STORE T-2041 / DES MOINES,5901 DOUGLAS AVE,DES MOINES,50322.0,POINT(-93.699209 41.629529),77,POLK,1081600.0,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,60.0,90.0,1,90.0,0.05,0.01
INV-51279300005,2022-09-16,5789,CASEY'S GENERAL STORE #2512 / HILLS,310 W MAIN ST,HILLS,52235.0,POINT(-91.540948 41.554228),,JOHNSON,1081600.0,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-63520700001,2023-10-22,4551,CASEY'S GENERAL STORE #2845 / URBANA,201 SUNSET ST,URBANA,52345.0,POINT(-91.879765516 42.225929122),,BENTON,1081600.0,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-46108100002,2022-04-01,5789,CASEY'S GENERAL STORE #2512 / HILLS,310 W MAIN ST,HILLS,52235,POINT(-91.540948 41.554228),52,JOHNSON,1081600.0,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-38841500022,2021-07-30,5044,CASEY'S GENERAL STORE #3202 / CRESCE,"111, MORMON BRIDGE RD",CRESCENT,51526.0,POINT(-95.858942 41.362302),78,POTTAWATTAMIE,1081600.0,WHISKEY LIQUEUR,421.0,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-60950900001,2023-08-04,5521,CASEY'S GENERAL STORE #3640 / WAUKEE,870 NE ALICE'S RD,WAUKEE,50263,POINT(-93.85354499 41.628731006),,DALLAS,1081600.0,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-58262200001,2023-05-09,5720,CASEY'S GENERAL STORE #1921- ACKLEY,512 SHERMAN AVENUE,ACKLEY,50601.0,POINT(-93.0551829619999 42.5563190140001),,HARDIN,1081600.0,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-36010600036,2021-04-21,3443,SUPER SAVER IV,1141 N BROADWAY,COUNCIL BLUFFS,51503.0,POINT(-95.836515 41.270824),78,POTTAWATTAMIE,1081600.0,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-53110600027,2022-11-16,2619,HY-VEE WINE AND SPIRITS / WDM,1725  74TH ST,WEST DES MOINES,50266.0,,,POLK,1081600,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-52873100071,2022-11-09,3899,WAL-MART 3762 / WDM,6365 STAGECOACH DR,WEST DES MOINES,50266.0,POINT(-93.79556 41.55806),,POLK,1081600,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-47745700004,2022-05-24,3763,MAIN STREET LIQUORS / HAWARDEN,911 CENTRAL AVE,HAWARDEN,51023.0,POINT(-96.485189 42.9961),84,SIOUX,1081600.0,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-58236100001,2023-05-08,4653,CASEY'S GENERAL STORE #1617 / JEFFERSON,508 N ELM,JEFFERSON,50129.0,POINT(-94.3779969839999 42.0201349970001),,GREENE,1081600.0,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-53756300024,2022-12-07,5662,RIVERSIDE LIQUOR 2 / DAVENPORT,1528 W LOCUST,DAVENPORT,52804.0,POINT(-90.59742 41.53823),,SCOTT,1081600,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-44444500001,2022-02-04,5106,RANDY'S NEIGHBORHOOD MARKET,622 10TH  ST,DEWITT,52742.0,POINT(-90.540183 41.825138),23,CLINTON,1081600.0,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-51613000016,2022-09-27,6039,CASEY'S GENERAL STORE #2879 / WATERLOO,3260 UNIVERSITY AVE,WATERLOO,50701,POINT(-92.388614 42.501032),,BLACK HAWK,1081600.0,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-57682000001,2023-04-19,4821,CASEY'S GENERAL STORE #3215 / OSKALOOSA,901 S MARKET ST,OSKALOOSA,52577.0,POINT(-92.64507 41.28767),,MAHASKA,1081600.0,WHISKEY LIQUEUR,421.0,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-41546100003,2021-11-01,5682,AMBYSURE INC / CLINTON,1641 S BLUFF BLVD,CLINTON,52732.0,POINT(-90.225022 41.833351),23,CLINTON,1081600.0,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-48200500008,2022-06-09,4971,FAREWAY STORES #138 / PLEASANT HILL,"5500, E UNIVERSITY AVE",PLEASANT HILL,50327,POINT(-93.505732 41.599274),77,POLK,1081600.0,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-35263700006,2021-03-24,5406,CASEY'S GENERAL STORE # 2918/ CORALVILLE,2798 COMMERCE DR.,CORALVILLE,52241.0,POINT(-91.610515 41.695834),52,JOHNSON,1081600.0,WHISKEY LIQUEUR,421.0,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-39641300051,2021-08-30,2528,HY-VEE FOOD STORE #3 / DES MOINES,3221 SE 14TH ST,DES MOINES,50315.0,,77,POLK,1081600.0,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-39545700005,2021-08-25,4738,CASEY'S GENERAL STORE #2284 / COUNCIL BLUFFS,"1030, VETERAN MEMORIAL HWY",COUNCIL BLUFFS,51501.0,POINT(-95.860337 41.219703),78,POTTAWATTAMIE,1081600.0,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-46128200065,2022-04-01,2551,HY-VEE FOOD STORE / CHARITON,2001 WEST COURT,CHARITON,50049,,59,LUCAS,1081600.0,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-48502000029,2022-06-20,5275,CASEY'S GENERAL STORE # 2417/ NEWTON,1200 W 18TH ST S,NEWTON,50208.0,POINT(-93.076066 41.688376),50,JASPER,1081600.0,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-32959700003,2020-12-23,4698,QUALITY QUICK STOP,201 W BURLINGTON AVE,FAIRFIELD,52556.0,POINT(-91.965379 41.006639),51,JEFFERSON,1081600.0,WHISKEY LIQUEUR,421.0,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,90.0,0.05,0.01
INV-64545300001,2023-11-22,5893,CASEY'S GENERAL STORE #3880 / WATERLOO,1900 W RIDGEWAY AVE,WATERLOO,50701.0,POINT(-92.392437026 42.469802016),,BLACK HAWK,1081600.0,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-41582800061,2021-11-02,6173,MINI-MART / INDEPENDENCE,709 1ST STREET WEST,INDEPENDENCE,50644.0,POINT(-91.901687 42.468633),10,BUCHANAN,1081600.0,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-64136000001,2023-11-09,4505,CASEY'S GENERAL STORE #2816 / JOHNSTON,6417 NORTHGLEN DR,JOHNSTON,50131.0,POINT(-93.70535596 41.688044999),,POLK,1081600.0,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-26775000061,2020-04-23,2582,HY-VEE #2 FOOD STORE / MASON CITY,551 S ILLINOIS AVE,MASON CITY,50401.0,POINT(-93.17114 43.14623),17,CERRO GORDO,1081600.0,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,60.0,90.0,1,90.0,0.05,0.01
INV-56457300008,2023-03-07,6243,HY-VEE DOLLAR FRESH / INDEPENDENCE,1975 3 ELMS ROAD,INDEPENDENCE,50644.0,POINT(-91.8888 42.45661),,BUCHANAN,1081600,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-41374200003,2021-10-26,5786,CASEY'S GENERAL STORE #2779 / CORALVILLE,1987 2ND ST,CORALVILLE,52241.0,POINT(-91.591 41.67929),52,JOHNSON,1081600.0,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-57458300001,2023-04-12,2619,HY-VEE WINE AND SPIRITS / WDM,1725  74TH ST,WEST DES MOINES,50266.0,POINT(-93.719039516 41.609351573),,POLK,1081600.0,WHISKEY LIQUEUR,421.0,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-54950400007,2023-01-13,4823,CASEY'S GENERAL STORE #3223 / CRESTON,903 N SUMNER AVE,CRESTON,50801,POINT(-94.37257 41.067),,UNION,1081600.0,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-57301200001,2023-04-06,5913,CASEY'S GENERAL STORE #1427 / CLEAR LAKE,6 PLAZA DR,CLEAR LAKE,50428.0,POINT(-93.3605 43.14588),,CERRO GORDO,1081600.0,WHISKEY LIQUEUR,421.0,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-36332300016,2021-05-04,5710,CASEY'S #3763 -WAVERLY,1032 4TH STREET SW,WAVERLY,50677.0,POINT(-92.475569 42.715552),9,BREMER,1081600.0,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
